2018-07-17 03:13:01 status unpacked gnupg-agent:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:01 status half-configured gnupg-agent:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:01 status installed gnupg-agent:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:01 configure dirmngr:amd64 2.1.18-8~deb9u2 <none>
2018-07-17 03:13:01 status unpacked dirmngr:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:01 status half-configured dirmngr:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:01 status installed dirmngr:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:01 configure gnupg:amd64 2.1.18-8~deb9u2 <none>
2018-07-17 03:13:01 status unpacked gnupg:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:01 status half-configured gnupg:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:01 status installed gnupg:amd64 2.1.18-8~deb9u2
2018-07-17 03:13:01 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-07-17 03:13:01 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-07-17 03:13:01 status installed libc-bin:amd64 2.24-11+deb9u3
2018-07-17 03:13:30 startup archives unpack
